Placename, Latitude, Longitude
CHAPTER I.,51.48303365,-3.203520084
THE PRISON SHIP, , 
Crown,-33.53166667,149.9177778
the Bay of Biscay,52.95425415,-1.159789837
London,-0.083333,51.5
Van Diemen's,-41.3799529,147.1181359
Vickers,51.59845985,-1.741553531
Chatham,-37.82402802,145.089035
Frere,44.4701528,7.004274
Sylvia,-20.85,143.8166667
Surgeon Pine,-29.0569188,167.9554764
Coromandel,-35.0251942,138.6143361
Pine,-36,135
the King's Regulations, , 
India,77.2,28.6
the Hydaspes for Calcutta, , 
Modesty,43.5127672,16.4402032
CHAPTER I.,51.48303365,-3.203520084
Cape Pillar,-43.18000031,147.9299927
Pirates,-34.0017571,23.0512558
the Isle of Wight,50.6710482,-1.332711113
South,52.34106825,-8.145015277
Mediterranean,29.918687,-95.0748985
Cape Bougainville,-42.50999832,148.0099945
Maria Island,-42.61999893,148.0800018
Peninsula,-33.92686,116.0693
Pillar,54.4974813,-3.2811806
Storm Bay,-43.16999817,147.4400024
Storing Island, , 
Hobart,-42.893851,147.2720858
Sorrell,53.9614506,-1.066529337
Pittwater,-33.54833333,151.3511111
Bruny Island,-43.29000092,147.2799988
Actaeon,51.9864345,5.6694395
Recherche Bay,-43.54999924,146.8999939
the South Cape,52.2840847,-1.905539671
New Norfolk,-42.77999878,147.0500031
the Southern Ocean,37.1034349,25.3748431
Victoria,-37.8142176,144.9631608
Port Philip Bay,-33.9777102,151.2293207
Bay,-33.13166667,149.2011111
Wyld's Crag, , 
Wellington,174.783333,-41.3
Dromedary,-42.74000168,147.1600037
Derwent,-42.813,146.423
Mount Wellington,-42.88999939,147.2299957
south bay,-42.27999878,146.5
Smyrna,33.883887,-84.5147454
Cape Grim,-40.68000031,144.6799927
Pyramid Island,-42.59000015,145.7299957
Rocky Point,-41.97000122,146.8999939
Port Davey,-43.33000183,145.9100037
Cape,-36.4118688,-71.9071522
Huon,-36.21958333,147.0634722
Navigation,46.2119049,6.1495001
Macquarie Harbour,-42.29999924,145.3600006
Mount Heemskirk,-41.84999847,145.1699982
King's River,52.53535,-7.4851818
Gordon,-35.45833333,149.0836111
Sarah Island,-42.38000107,145.4400024
Philip,14.6082386,121.1179416
Island,-33.34833333,150.5844444
Nature,33.6981486,-117.7460817
Ladybird,50.2332024,-5.228724001
the Hobart Town Gaol, , 
Commandant, , 
Honduras,-87.216667,14.1
Honest,-43.5332803,172.6318206
Hobart Town,-42.893851,147.2720858
Hells Gates,-42.20999908,145.2100067
Arthur,-32.36305556,150.8580556
England,-27.43333333,152.4666667
New Town,-42.84999847,147.3000031
Sydney,-33.8698439,151.2082848
verandah.-She, , 
Barton,-35.10843,138.59468
Grummet Island,-42.38000107,145.4499969
Maria,-36.95065,139.64065
Malabar,-35.564599,148.3241805
Dawes,-37.81597137,146.4990234
Gad,17.3779584,73.6248887
Osprey,-21.16518905,149.1954233
nimbus,52.5968781,-1.6796506
Troke,14.5532054,21.9807726
